"","species","decimalLongitude","decimalLatitude"
"1","Pinus halepensis",-0.32,39.38
"2","Pinus halepensis",-7.14,38.99
"3","Pinus halepensis",-3.51,36.74
"4","Pinus halepensis",-6.98,38.88
"5","Pinus halepensis",-0.12,40.12
"6","Pinus halepensis",0.23,40.48
"7","Pinus halepensis",-0.68,39.42
"8","Pinus halepensis",0.003,40.09
"9","Pinus halepensis",-0.49,39.52
"10","Pinus halepensis",-1.14,39.92
"11","Pinus halepensis",-1.07,39.96
"12","Pinus halepensis",-0.92,39.43
"13","Pinus halepensis",-1.35,39.51
"14","Pinus halepensis",-1.08,39.3
"15","Pinus halepensis",-0.12,40.21
"16","Pinus halepensis",-1.06,39.29
"17","Pinus halepensis",-1.36,39.53
"18","Pinus halepensis",-2.26,38.35
"19","Pinus halepensis",-0.44,39.52
"20","Pinus halepensis",22.48,38
"21","Pinus halepensis",-0.9,39.61
"22","Pinus halepensis",0.22,40.68
"23","Pinus halepensis",-0.46,39.7
"24","Pinus halepensis",-4.04,37.59
"25","Pinus halepensis",22.5,38.483333
"26","Pinus halepensis",-4.59224,36.70654
"27","Pinus halepensis",-4.58766,36.70829
"28","Pinus halepensis",-5.282,36.47
"29","Pinus halepensis",-4.405,36.727
"30","Pinus halepensis",-4.63635,36.69955
"31","Pinus halepensis",-4.06926,36.91205
"32","Pinus halepensis",-4.41452,36.73668
"33","Pinus halepensis",-0.75,38.666667
"34","Pinus halepensis",9.9,33.616667
"35","Pinus halepensis",-7.394117,31.449633
"36","Pinus halepensis",-7.394117,31.449633
"37","Pinus halepensis",5.04338,44.47763
"38","Pinus halepensis",5.04338,44.47763
"39","Pinus halepensis",4.38646,44.40373
"40","Pinus halepensis",3.38889,39.73083
"41","Pinus halepensis",3.40806,39.63944
"42","Pinus halepensis",-3.52,37.27
"43","Pinus halepensis",-3.72,37.74
"44","Pinus halepensis",-3.66,37.29
"45","Pinus halepensis",-3.14,37.49
"46","Pinus halepensis",-3.87,37.31
"47","Pinus halepensis",-2.6,37.63
"48","Pinus halepensis",-3.72,36.98
"49","Pinus halepensis",-3.51,36.91
"50","Pinus halepensis",-3.53,37.36
"51","Pinus halepensis",-3.76,36.93
"52","Pinus halepensis",-3.84,37
"53","Pinus halepensis",-3.61,37.32
"54","Pinus halepensis",-4.54,33.56
"55","Pinus halepensis",-3.24,37.5
"56","Pinus halepensis",-3.09,37.42
"57","Pinus halepensis",-2.41,37.41
"58","Pinus halepensis",-3.68,37.24
"59","Pinus halepensis",-2.83,37.45
"60","Pinus halepensis",-1.7,37.38
"61","Pinus halepensis",-1.73,37.36
"62","Pinus halepensis",-1.73,37.36
"63","Pinus halepensis",-1.71,37.35
"64","Pinus halepensis",-3,36.79
"65","Pinus halepensis",-2.06,37.35
